search_id;query;rank;result_id;track_name;relevance;option;search_mode
004s3t0ONYlzxII9PLgU6z;"and at 6 i kissed your lips and";4;0BfLvshnvJldGROufmYCrv;"Song For You";0.43636019228800527;track_name_semantic;lyrics
004s3t0ONYlzxII9PLgU6z;"and at 6 i kissed your lips and";5;07q0QVgO56EorrSGHC48y3;"I Was Made For Lovin' You";0.4360832601952878;track_name_semantic;lyrics
004s3t0ONYlzxII9PLgU6z;"and at 6 i kissed your lips and";6;064SVQsmWl5EF0zahmzkQk;"Let Your Love Flow";0.43598513227139607;track_name_semantic;lyrics
004s3t0ONYlzxII9PLgU6z;"and at 6 i kissed your lips and";7;05CwHjIk71RXVU40boRMnR;"Call You Mine";0.43275895252013413;track_name_semantic;lyrics
004s3t0ONYlzxII9PLgU6z;"and at 6 i kissed your lips and";8;07efOAoPwcRdd4W6gi8BRF;"I Wanna Sex You Up";0.4326272787652713;track_name_semantic;lyrics
004s3t0ONYlzxII9PLgU6z;"and at 6 i kissed your lips and";9;056uvAVDFOa7kv9idKPpf0;"I See Your Smile";0.4318521260292405;track_name_semantic;lyrics
004s3t0ONYlzxII9PLgU6z;"and at 6 i kissed your lips and";10;06KyNuuMOX1ROXRhj787tj;"We Don't Talk Anymore";0.43168946141982695;track_name_semantic;lyrics
00chLpzhgVjxs1zKC9UScL;"poison";1;00chLpzhgVjxs1zKC9UScL;"Poison";0.9996548521988536;track_name_semantic;title
00chLpzhgVjxs1zKC9UScL;"poison";2;06yHcjr58IKJnfEK7ko3sD;"Poison";0.9996548521988536;track_name_semantic;title
00chLpzhgVjxs1zKC9UScL;"poison";3;0amPDBn2wSRl0vRyWSLk5v;"The Bottle";0.4770637131855583;track_name_semantic;title
00chLpzhgVjxs1zKC9UScL;"poison";4;02lGHA7bFFplYLihnUWTx8;"Tequila";0.4727714087611431;track_name_semantic;title
00chLpzhgVjxs1zKC9UScL;"poison";5;0AyAhgf2sihNnGt1ymLhg2;"My Death";0.4714611605999105;track_name_semantic;title
00chLpzhgVjxs1zKC9UScL;"poison";6;07nH4ifBxUB4lZcsf44Brn;"Blame";0.4673552281464437;track_name_semantic;title
00chLpzhgVjxs1zKC9UScL;"poison";7;02H05NlKnwFQREf0qu89AL;"Compound";0.46646291609857465;track_name_semantic;title
00chLpzhgVjxs1zKC9UScL;"poison";8;02138lFv3Bzncr6ScNbLAF;"Rattle Your Cage";0.4654409391449351;track_name_semantic;title
00chLpzhgVjxs1zKC9UScL;"poison";9;06WD650Zt5MQ55kFMP2f3r;"Fire Fly";0.45973755267298716;track_name_semantic;title
00chLpzhgVjxs1zKC9UScL;"poison";10;02kdNcUqZRgXwQiYr92gZW;"On Fire";0.45494100461528436;track_name_semantic;title
00chLpzhgVjxs1zKC9UScL;"night i played the wall checkin out the fellas the";1;037yW9RzsLze4OmBYmcH4G;"Save My Night - BlasterJaxx Remix";0.463748195293108;track_name_semantic;lyrics
00chLpzhgVjxs1zKC9UScL;"night i played the wall checkin out the fellas the";2;08Kj0lvbsqAxzeUOBYZRL6;"Good Nights (feat. Mascolo)";0.4614280740889839;track_name_semantic;lyrics
00chLpzhgVjxs1zKC9UScL;"night i played the wall checkin out the fellas the";3;0bJncTmVkKIzgKK5jNopV8;"Fly By Night";0.46053542483514837;track_name_semantic;lyrics
00chLpzhgVjxs1zKC9UScL;"night i played the wall checkin out the fellas the";4;03LhreaNy6FWQxSxTX9u9H;"Watch Me Dance";0.4588877115257774;track_name_semantic;lyrics
00chLpzhgVjxs1zKC9UScL;"night i played the wall checkin out the fellas the";5;06dT0EYXrhRQV1MsvWhNGv;"Bad (feat. Vassy) - Radio Edit";0.4556873338325755;track_name_semantic;lyrics
00chLpzhgVjxs1zKC9UScL;"night i played the wall checkin out the fellas the";6;05vpswcCkiXX2egk5GBo2y;"Middle Of The Night";0.4555094233647279;track_name_semantic;lyrics
00chLpzhgVjxs1zKC9UScL;"night i played the wall checkin out the fellas the";7;06mzeP9GQNSHWd1Nh2C5FM;"MIDDLE OF THE NIGHT";0.4555094233647279;track_name_semantic;lyrics
00chLpzhgVjxs1zKC9UScL;"night i played the wall checkin out the fellas the";8;05Sgj1Hx03ZXc57gsV1kfX;"It's Goin' Down (feat. Nitti)";0.4473750689562373;track_name_semantic;lyrics
00chLpzhgVjxs1zKC9UScL;"night i played the wall checkin out the fellas the";9;05KCB1XhTrdEASLYqbESny;"Nothin' But The Cavi Hit";0.44725097208084696;track_name_semantic;lyrics
00chLpzhgVjxs1zKC9UScL;"night i played the wall checkin out the fellas the";10;01auWCuHXubb8KPZ0IXF4S;"Get Get Down - Radio Edit";0.4472441740098994;track_name_semantic;lyrics
00cqd6ZsSkLZqGMlQCR0Zo;"baby its cold outside feat christina aguilera";1;00cqd6ZsSkLZqGMlQCR0Zo;"Baby It's Cold Outside (feat. Christina Aguilera)";0.8415283333701591;track_name_semantic;title
00cqd6ZsSkLZqGMlQCR0Zo;"baby its cold outside feat christina aguilera";2;0akznwBCaPCVAtiGblDtHt;"Cold Ain't For Me";0.49977450753110864;track_name_semantic;title
00cqd6ZsSkLZqGMlQCR0Zo;"baby its cold outside feat christina aguilera";3;0AtY4uFaYBIl6tAjONkk1Z;"Your Peace (feat. Lil Baby)";0.49792325917312286;track_name_semantic;title
00cqd6ZsSkLZqGMlQCR0Zo;"baby its cold outside feat christina aguilera";4;09oZ9eXQ2fo6YDrPzJqAoP;"Outta My Head (with John Mayer)";0.4875473478311223;track_name_semantic;title
00cqd6ZsSkLZqGMlQCR0Zo;"baby its cold outside feat christina aguilera";5;09okoLt0vlZKhRVv6y8NVo;"Sun Is Shining - W&W Remix";0.4795321977915462;track_name_semantic;title
00cqd6ZsSkLZqGMlQCR0Zo;"baby its cold outside feat christina aguilera";6;02PiwfcW4LuKxhDi3JfH01;"Don't Look Down (feat. Blake Young)";0.47907342575760226;track_name_semantic;title
00cqd6ZsSkLZqGMlQCR0Zo;"baby its cold outside feat christina aguilera";7;05hXrqBkWkAdl4kG0iNksE;"Feel Me (feat. Kanye West)";0.47451884307164144;track_name_semantic;title
00cqd6ZsSkLZqGMlQCR0Zo;"baby its cold outside feat christina aguilera";8;074v54tSEWLbq3Hu5wf6uh;"The Whole World (feat. Killer Mike)";0.47122210440328205;track_name_semantic;title
00cqd6ZsSkLZqGMlQCR0Zo;"baby its cold outside feat christina aguilera";9;014J7jX1wSv0manSdRnveo;"Dancing On My Own - Tiësto Remix";0.47091993663680337;track_name_semantic;title
00cqd6ZsSkLZqGMlQCR0Zo;"baby its cold outside feat christina aguilera";10;020wG4EHTwBy5h2rbpxqvK;"SUPREME - L'ego (feat. tha Supreme & Sfera Ebbasta)";0.47013154497141063;track_name_semantic;title
00cqd6ZsSkLZqGMlQCR0Zo;"you see how can you do this thing to me theres bound to";1;06EL94D0TA27Ik0Ke5usbj;"The Way";0.44798367608247874;track_name_semantic;lyrics
00cqd6ZsSkLZqGMlQCR0Zo;"you see how can you do this thing to me theres bound to";2;0AkQbXGN4KG34TS7xLrM68;"Kiss You";0.4444457345691544;track_name_semantic;lyrics
00cqd6ZsSkLZqGMlQCR0Zo;"you see how can you do this thing to me theres bound to";3;0BiGd2FNDQ0eh79ZHfp6tS;"All I Wanna Do";0.44050522801957176;track_name_semantic;lyrics
00cqd6ZsSkLZqGMlQCR0Zo;"you see how can you do this thing to me theres bound to";4;06iMqWThw4w8fTFyccvOwr;"Ride Wit Me";0.4397350316413071;track_name_semantic;lyrics
00cqd6ZsSkLZqGMlQCR0Zo;"you see how can you do this thing to me theres bound to";5;068LmtzI6xJJDPfPnMje0U;"Let It Happen";0.4384580774516294;track_name_semantic;lyrics
00cqd6ZsSkLZqGMlQCR0Zo;"you see how can you do this thing to me theres bound to";6;0aZ4vyAeoDqsP0zNEECrx6;"All The Way";0.43812855728266503;track_name_semantic;lyrics
00cqd6ZsSkLZqGMlQCR0Zo;"you see how can you do this thing to me theres bound to";7;09s7AzC1vXpkIBS8xphJgP;"Come With Me";0.43754947882395556;track_name_semantic;lyrics
00cqd6ZsSkLZqGMlQCR0Zo;"you see how can you do this thing to me theres bound to";8;05dL7chWJaVjMJnGO1YCKk;"Untouchable";0.43741191492102743;track_name_semantic;lyrics
00cqd6ZsSkLZqGMlQCR0Zo;"you see how can you do this thing to me theres bound to";9;00FROhC5g4iJdax5US8jRr;"Satisfy You";0.4346899969053561;track_name_semantic;lyrics
00cqd6ZsSkLZqGMlQCR0Zo;"you see how can you do this thing to me theres bound to";10;02Yq8TMuecXONAjkORNJNM;"Say It";0.43454812385283736;track_name_semantic;lyrics
00emjlCv9azBN0fzuuyLqy;"dumb litty";1;00emjlCv9azBN0fzuuyLqy;"Dumb Litty";1.0;track_name_semantic;title
00emjlCv9azBN0fzuuyLqy;"dumb litty";2;01vv2AjxgP4uUyb8waYO5Y;"Morph";0.4587580535971916;track_name_semantic;title
00emjlCv9azBN0fzuuyLqy;"dumb litty";3;09dwF4F9mJSoy5oHd2HWFg;"Nudies";0.4509001226753334;track_name_semantic;title
00emjlCv9azBN0fzuuyLqy;"dumb litty";4;08o75xMKmGrKny6GsXrNJW;"Little Lies";0.4504467595287754;track_name_semantic;title
00emjlCv9azBN0fzuuyLqy;"dumb litty";5;07CQ0ux2CwbaVN05sfG1zN;"Sleepy Eyes";0.44744743648678553;track_name_semantic;title
00emjlCv9azBN0fzuuyLqy;"dumb litty";6;06ZIzHhJFWf0mDyEylIPf0;"Peachy Keen";0.4472079520500428;track_name_semantic;title
00emjlCv9azBN0fzuuyLqy;"dumb litty";7;05xA64s3UzOOmAnh9SIIjn;"Bloom";0.44703151063487695;track_name_semantic;title
00emjlCv9azBN0fzuuyLqy;"dumb litty";8;073ILU1C3APNRGF66VhtyA;"Liar";0.4457231009547473;track_name_semantic;title
